86;0,0861;7,4004
72;0.6167;44.4012
89;0.7936;70.6346
46;0,9893;45,5059
6;0.2072;1.2433
11;0.311;3.4213
94;0,0604;5,6772
77;0,6974;53,7036
73;0,1612;11,7683
57;0,8905;50,7593
75;0.9656;72.4181
82;0.8679;71.1689
98;0,9158;89,7523
3;0.8417;2.525
71;0,0056;0,3983
37;0,9722;35,9721
61;0,2773;16,9152
61;0.5739;35.0072
57;0,2564;14,6146
58;0.0542;3.1412
44;0.866;38.1054
45;0,4577;20,5961
87;0.6506;56.601
17;0.1213;2.0614
53;0,5227;27,701
16;0.5716;9.1453
11;0.2818;3.1001
3;0,1833;0,5498
21;0,7497;15,7429
62;0.3648;22.6154
68;0,6545;44,5043
50;0.9699;48.4964
17;0,3595;6,1108
27;0,2759;7,4481
48;0.3391;16.2765
64;0,5959;38,1344
87;0,3402;29,5946
61;0.8638;52.6946
21;0.5741;12.0552
55;0,366;20,1273
50;0,334;16,7012
59;0.9611;56.7033
29;0,7874;22,8354
15;0.5987;8.9802
72;0.8562;61.643
83;0,9685;80,3885
18;0.9766;17.5791
75;0.6319;47.3944
29;0,4534;13,1489
31;0,9872;30,6041
87;0.8774;76.3372
80;0,616;49,2791
71;0.1585;11.2558
68;0.0485;3.2978
96;0,7745;74,3502
5;0.8741;4.3703
93;0,8971;83,4326
89;0,0428;3,8085
42;0.1828;7.6787
65;0.0658;4.275
13;0,978;12,7138
35;0.9209;32.2308
14;0.6754;9.4556
40;0,4492;17,9663
46;0,6521;29,9978
12;0.5598;6.7182
10;0,722;7,2203
77;0.949;73.0763
24;0.8802;21.1248
63;0,3838;24,1816
48;0,1709;8,2026
85;0.1833;15.5797
40;0,9247;36,9893
14;0.4497;6.296
47;0.923;43.3828
94;0,2233;20,9938
34;0.9133;31.0506
54;0,2646;14,2903
70;0,0217;1,5179
70;0.49;34.2983
81;0,2284;18,499
71;0,0888;6,3073
77;0.9355;72.0347
33;0.1243;4.1029
97;0,0859;8,3361
4;0.1838;0.7352
98;0.6278;61.5267
26;0,6458;16,7896
58;0,5961;34,5715
71;0.4635;32.9069
6;0,3483;2,0897
18;0,5256;9,461
84;0.6142;51.5943
92;0,2144;19,7276
22;0.9036;19.8796
93;0.5886;54.7402
60;0,9171;55,0254
49;0.1771;8.6756
75;0,1996;14,9669
43;0,5464;23,494
